USER           PID  PPID        VSZ    RSS WCHAN            ADDR S NAME                       
root           920     2          0      0 0                   0 S [irq/72-arm-smmu-context-fault]
root           921     2          0      0 0                   0 S [irq/73-arm-smmu-context-fault]
root           923     2          0      0 0                   0 I [transport_power]
root           925     2          0      0 0                   0 I [page_recycle_st]
root           926     2          0      0 0                   0 I [kworker/4:16-events_long]
root           929     2          0      0 0                   0 I [kworker/4:17-events_long]
root           930     2          0      0 0                   0 I [ipa_pm_activate]
root           931     2          0      0 0                   0 I [kworker/4:18-events_long]
root           932     2          0      0 0                   0 I [rmnet_ctlwq]
root           933     2          0      0 0                   0 I [rmnet_llwq]
root           934     2          0      0 0                   0 I [kworker/4:19-events_long]
root           935     2          0      0 0                   0 I [kworker/4:20-events_long]
root           936     2          0      0 0                   0 I [kworker/4:21-events]
root           937     2          0      0 0                   0 I [kworker/4:22-events]
root           938     2          0      0 0                   0 I [kworker/4:23-events_long]
root           939     2          0      0 0                   0 S [irq/272-pm8550vs-c-temp-alarm]
root           940     2          0      0 0                   0 I [kworker/4:24-rcu_gp]
root           941     2          0      0 0                   0 I [kworker/4:25-events_long]
root           942     2          0      0 0                   0 I [kworker/4:26-events_long]
root           943     2          0      0 0                   0 I [kworker/4:27-events]
root           944     2          0      0 0                   0 S [irq/74-arm-smmu-context-fault]
root           946     2          0      0 0                   0 S [irq/75-arm-smmu-context-fault]
root           947     2          0      0 0                   0 S [irq/76-arm-smmu-context-fault]
root           948     2          0      0 0                   0 I [qcrypto_seq_res]
root           949     2          0      0 0                   0 S [irq/278-qcom,temp-alarm]
root           950     2          0      0 0                   0 S [irq/316-pmic_pwrkey]
root           951     2          0      0 0                   0 S [irq/157-q6v5 wdog]
root           952     2          0      0 0                   0 S [smcinvoke_shmbridge_postprocess]
root           953     2          0      0 0                   0 S [smcinvoke_object_postprocess]
root           954     2          0      0 0                   0 I [crash_report_wo]
root           955     2          0      0 0                   0 S [irq/77-arm-smmu-context-fault]
root           956     2          0      0 0                   0 S [irq/321-pmic_resin]
root           957     2          0      0 0                   0 S [irq/78-arm-smmu-context-fault]
root           959     2          0      0 0                   0 S [irq/323-q6v5 wdog]
root           961     2          0      0 0                   0 S [irq/273-pm8550vs-d-temp-alarm]
root           962     2          0      0 0                   0 S [irq/79-arm-smmu-context-fault]
root           963     2          0      0 0                   0 S [irq/158-q6v5 wdog]
root           965     2          0      0 0                   0 S [irq/159-q6v5 wdog]
root           966     2          0      0 0                   0 S [irq/80-arm-smmu-context-fault]
root           967     2          0      0 0                   0 I [kworker/3:3-mm_percpu_wq]
root           968     2          0      0 0                   0 I [byte-cntr]
root           974     2          0      0 0                   0 I [kgsl-workqueue]
root           975     2          0      0 0                   0 I [kgsl-lockless-w]
root           983     2          0      0 0                   0 I [cds_recovery_wo]
root           984     2          0      0 0                   0 S [wlan_logging_thread]
root           995     2          0      0 0                   0 S [irq/339-voocphy_irq]
root          1000     2          0      0 0                   0 S [track_upload_kthread]
root          1001     2          0      0 0                   0 I [oplus_chg_trigg]
logd          1005     1    2272120   7236 0                   0 S logd
lmkd          1006     1    2378240   9564 0                   0 S lmkd
system        1007     1    2144632   5004 0                   0 S servicemanager
system        1008     1    2165700   5640 0                   0 S hwservicemanager
system        1009     1    2193456   3508 0                   0 S vndservicemanager
root          1046     2          0      0 0                   0 S [psimon]
system        1052     1    2335512   5144 0                   0 S android.hardware.security.keymint-service-qti
system        1053     1    3170276   3588 0                   0 S qseecomd
system        1054     1    2170216   3436 0                   0 S vendor.qti.hardware.qseecom@1.0-service
root          1055     1    2335956   9136 0                   0 S vold
root          1057     2          0      0 0                   0 S [jbd2/sda2-8]
root          1058     2          0      0 0                   0 I [ext4-rsv-conver]
root          1060     2          0      0 0                   0 S [jbd2/sde11-8]
root          1061     2          0      0 0                   0 I [ext4-rsv-conver]
root          1066     2          0      0 0                   0 I [kdmflush]
root          1070     2          0      0 0                   0 S [jbd2/sdf3-8]
root          1071     2          0      0 0                   0 I [ext4-rsv-conver]
root          1080     2          0      0 0                   0 S [irq/81-arm-smmu-context-fault]
root          1083     2          0      0 0                   0 S [irq/17-arm-smmu-context-fault]
root          1084     2          0      0 0                   0 S [irq/19-arm-smmu-context-fault]
root          1085     2          0      0 0                   0 S [irq/20-arm-smmu-context-fault]
root          1086     2          0      0 0                   0 S [kgsl-events]
root          1088     2          0      0 0                   0 I [kgsl_devfreq_wq]
root          1090     2          0      0 0                   0 S [kgsl_dispatcher]
root          1093     2          0      0 0                   0 S [irq/82-arm-smmu-context-fault]
root          1095     2          0      0 0                   0 S [irq/83-arm-smmu-context-fault]
